11:58:00.659 -> O3: 0.94 ppm, NOx: 1.07 ppm
11:58:05.717 -> O3: 1.15 ppm, NOx: 1.05 ppm
11:58:10.809 -> O3: 1.23 ppm, NOx: 1.22 ppm
11:58:15.942 -> O3: 1.16 ppm, NOx: 1.07 ppm
11:58:21.010 -> O3: 1.23 ppm, NOx: 1.20 ppm
11:58:26.104 -> O3: 1.20 ppm, NOx: 1.14 ppm
11:58:31.203 -> O3: 1.06 ppm, NOx: 0.88 ppm
11:58:36.264 -> O3: 1.06 ppm, NOx: 0.87 ppm
11:58:41.358 -> O3: 1.09 ppm, NOx: 0.93 ppm
11:58:46.475 -> O3: 1.07 ppm, NOx: 0.90 ppm
11:58:51.539 -> O3: 0.98 ppm, NOx: 0.77 ppm
11:58:56.631 -> O3: 1.01 ppm, NOx: 0.80 ppm
11:59:01.747 -> O3: 1.03 ppm, NOx: 0.83 ppm
11:59:06.815 -> O3: 0.96 ppm, NOx: 0.73 ppm
11:59:11.935 -> O3: 0.92 ppm, NOx: 0.63 ppm
11:59:17.031 -> O3: 0.95 ppm, NOx: 0.70 ppm
11:59:22.135 -> O3: 1.02 ppm, NOx: 0.82 ppm
11:59:27.182 -> O3: 1.04 ppm, NOx: 0.85 ppm
11:59:32.309 -> O3: 1.11 ppm, NOx: 0.98 ppm
11:59:37.396 -> O3: 1.20 ppm, NOx: 1.16 ppm
11:59:42.457 -> O3: 1.12 ppm, NOx: 0.96 ppm
11:59:47.569 -> O3: 1.17 ppm, NOx: 1.13 ppm
1:54:06.442 -> O3: 1.11 ppm, NOx: 1.00 ppm
11:54:11.545 -> O3: 1.30 ppm, NOx: 1.43 ppm
11:54:16.598 -> O3: 1.11 ppm, NOx: 1.07 ppm
11:54:21.690 -> O3: 1.24 ppm, NOx: 1.24 ppm
11:54:26.819 -> O3: 1.20 ppm, NOx: 1.26 ppm
11:54:31.874 -> O3: 1.17 ppm, NOx: 1.09 ppm
11:54:37.004 -> O3: 1.30 ppm, NOx: 1.49 ppm
11:54:42.076 -> O3: 1.08 ppm, NOx: 0.96 ppm
11:54:47.169 -> O3: 1.25 ppm, NOx: 1.30 ppm
