12:45:16.258 -> 1.36 ppm  |  2.18 ppm
12:45:21.326 -> 1.36 ppm  |  2.21 ppm
12:45:26.418 -> 1.06 ppm  |  1.89 ppm
12:45:31.553 -> 1.03 ppm  |  1.98 ppm
12:45:36.602 -> 1.19 ppm  |  2.03 ppm
12:45:41.709 -> 1.16 ppm  |  2.01 ppm
12:45:46.785 -> 1.19 ppm  |  2.03 ppm
12:45:51.873 -> 1.16 ppm  |  2.03 ppm
12:45:57.008 -> 1.01 ppm  |  1.87 ppm
12:46:02.056 -> 1.06 ppm  |  1.89 ppm
12:46:07.148 -> 0.92 ppm  |  1.76 ppm
12:46:12.241 -> 1.08 ppm  |  1.95 ppm
12:46:17.356 -> 1.01 ppm  |  1.81 ppm
12:46:22.432 -> 0.96 ppm  |  1.79 ppm
12:46:27.539 -> 0.90 ppm  |  1.71 ppm
12:46:32.611 -> 0.84 ppm  |  1.63 ppm
12:46:37.737 -> 1.11 ppm  |  1.95 ppm
12:46:42.804 -> 0.76 ppm  |  1.56 ppm
12:46:47.926 -> 0.88 ppm  |  1.68 ppm
12:46:52.970 -> 1.11 ppm  |  1.89 ppm
12:46:58.082 -> 1.13 ppm  |  1.95 ppm
12:47:03.198 -> 0.94 ppm  |  1.73 ppm
12:46:52.970 -> 1.11 ppm  |  1.89 ppm
12:46:58.082 -> 1.13 ppm  |  1.95 ppm
12:47:03.198 -> 0.94 ppm  |  1.73 ppm
12:47:08.254 -> 1.11 ppm  |  1.98 ppm
12:47:13.357 -> 0.94 ppm  |  1.71 ppm
12:47:18.441 -> 0.74 ppm  |  1.51 ppm
12:47:23.533 -> 0.82 ppm  |  1.61 ppm
12:47:28.625 -> 0.92 ppm  |  1.73 ppm
12:47:33.700 -> 0.84 ppm  |  1.63 ppm
12:47:38.793 -> 0.88 ppm  |  1.71 ppm
12:47:43.896 -> 1.11 ppm  |  1.95 ppm
12:47:49.021 -> 1.01 ppm  |  1.84 ppm
12:47:54.067 -> 0.96 ppm  |  1.79 ppm
12:47:59.167 -> 1.06 ppm  |  1.95 ppm
12:48:04.252 -> 1.11 ppm  |  1.98 ppm
12:48:09.339 -> 1.16 ppm  |  2.01 ppm
12:48:14.455 -> 1.19 ppm  |  2.06 ppm
12:48:19.534 -> 1.19 ppm  |  2.01 ppm
12:48:24.618 -> 1.13 ppm  |  1.95 ppm
12:48:29.742 -> 1.06 ppm  |  1.92 ppm
12:48:34.818 -> 1.11 ppm  |  1.95 ppm
12:48:39.889 -> 1.11 ppm  |  1.95 ppm
12:48:45.022 -> 1.06 ppm  |  1.92 ppm
12:48:50.089 -> 1.11 ppm  |  1.95 ppm
12:48:55.162 -> 1.08 ppm  |  1.89 ppm
12:49:00.265 -> 1.01 ppm  |  1.84 ppm
12:49:05.341 -> 1.06 ppm  |  1.87 ppm
12:49:10.440 -> 0.90 ppm  |  1.71 ppm
12:49:15.532 -> 1.16 ppm  |  2.01 ppm
12:49:20.637 -> 1.21 ppm  |  2.09 ppm
12:49:25.712 -> 1.27 ppm  |  2.09 ppm
12:49:30.795 -> 1.19 ppm  |  2.06 ppm
12:49:35.887 -> 0.99 ppm  |  1.84 ppm
12:49:41.000 -> 1.03 ppm  |  1.84 ppm
12:49:46.112 -> 0.94 ppm  |  1.76 ppm
12:49:51.170 -> 1.19 ppm  |  2.03 ppm
12:49:56.250 -> 1.08 ppm  |  1.92 ppm
12:50:01.363 -> 0.94 ppm  |  1.79 ppm
12:50:06.438 -> 1.24 ppm  |  2.09 ppm
12:50:01.363 -> 0.94 ppm  |  1.79 ppm
12:50:06.438 -> 1.24 ppm  |  2.09 ppm
12:50:11.538 -> 1.48 ppm  |  2.34 ppm
12:50:16.638 -> 1.21 ppm  |  2.06 ppm
12:50:21.729 -> 1.21 ppm  |  2.09 ppm
12:50:26.804 -> 1.30 ppm  |  2.15 ppm
12:50:31.904 -> 1.58 ppm  |  2.40 ppm
12:50:36.996 -> 1.01 ppm  |  1.84 ppm
12:50:42.068 -> 1.11 ppm  |  1.95 ppm
12:50:47.160 -> 1.06 ppm  |  1.89 ppm
12:50:52.299 -> 1.39 ppm  |  2.24 ppm
12:50:57.360 -> 1.39 ppm  |  2.24 ppm
12:51:02.443 -> 1.72 ppm  |  2.56 ppm
12:51:07.527 -> 1.64 ppm  |  2.50 ppm
12:51:12.653 -> 1.72 ppm  |  2.60 ppm
12:51:17.714 -> 1.94 ppm  |  2.70 ppm
12:51:22.808 -> 2.06 ppm  |  2.92 ppm
12:51:27.886 -> 1.98 ppm  |  2.50 ppm
12:51:32.989 -> 1.51 ppm  |  2.09 ppm
12:51:38.065 -> 1.72 ppm  |  2.56 ppm
12:51:43.201 -> 1.64 ppm  |  2.50 ppm
12:51:48.264 -> 1.58 ppm  |  2.50 ppm
12:51:53.380 -> 0.92 ppm  |  1.66 ppm
12:51:58.428 -> 1.11 ppm  |  1.98 ppm
12:52:03.540 -> 1.42 ppm  |  2.18 ppm
12:52:08.628 -> 1.24 ppm  |  2.06 ppm
12:52:13.704 -> 1.27 ppm  |  2.12 ppm
12:52:18.792 -> 1.13 ppm  |  1.95 ppm
12:52:23.884 -> 0.94 ppm  |  1.79 ppm
12:52:29.018 -> 1.06 ppm  |  2.09 ppm
12:52:34.083 -> 1.01 ppm  |  1.92 ppm
12:52:39.197 -> 1.11 ppm  |  1.92 ppm
12:52:44.247 -> 1.11 ppm  |  2.24 ppm
12:52:49.346 -> 1.03 ppm  |  1.89 ppm
12:52:54.440 -> 0.96 ppm  |  1.89 ppm
12:52:59.538 -> 0.94 ppm  |  1.73 ppm
12:53:04.650 -> 0.92 ppm  |  1.76 ppm
12:53:09.702 -> 1.06 ppm  |  1.92 ppm
12:53:14.794 -> 1.61 ppm  |  2.06 ppm
